System Reference Number:	18074
Hospital name:	Tennessee Sports Medicine
Release:	11.1.2
Filename:	G:\site\HELIUM_LEVEL.DAT
File date:	25-SEP-2005
Date and helium level in [%]:	25-SEP-2005	95
Date and helium level in [%]:	25-SEP-2005	95
Date and helium level in [%]:	26-SEP-2005	91
Date and helium level in [%]:	27-SEP-2005	88
Date and helium level in [%]:	28-SEP-2005	88
Date and helium level in [%]:	29-SEP-2005	88
Date and helium level in [%]:	29-SEP-2005	88
Date and helium level in [%]:	30-SEP-2005	88
Date and helium level in [%]:	06-OCT-2005	87
Date and helium level in [%]:	06-OCT-2005	87
Date and helium level in [%]:	10-OCT-2005	87
Date and helium level in [%]:	10-OCT-2005	87
Date and helium level in [%]:	10-OCT-2005	87
Date and helium level in [%]:	11-OCT-2005	87
Date and helium level in [%]:	11-OCT-2005	87
Date and helium level in [%]:	12-OCT-2005	87
Date and helium level in [%]:	13-OCT-2005	87
Date and helium level in [%]:	13-OCT-2005	87
Date and helium level in [%]:	14-OCT-2005	87
Date and helium level in [%]:	17-OCT-2005	87
Date and helium level in [%]:	17-OCT-2005	87
Date and helium level in [%]:	18-OCT-2005	86
Date and helium level in [%]:	18-OCT-2005	86
Date and helium level in [%]:	19-OCT-2005	86
Date and helium level in [%]:	19-OCT-2005	86
Date and helium level in [%]:	20-OCT-2005	86
Date and helium level in [%]:	20-OCT-2005	86
Date and helium level in [%]:	20-OCT-2005	86
Date and helium level in [%]:	21-OCT-2005	86
Date and helium level in [%]:	21-OCT-2005	86
Date and helium level in [%]:	24-OCT-2005	86
Date and helium level in [%]:	24-OCT-2005	86
Date and helium level in [%]:	25-OCT-2005	86
Date and helium level in [%]:	25-OCT-2005	86
Date and helium level in [%]:	26-OCT-2005	86
Date and helium level in [%]:	26-OCT-2005	86
Date and helium level in [%]:	27-OCT-2005	86
Date and helium level in [%]:	27-OCT-2005	86
Date and helium level in [%]:	28-OCT-2005	86
Date and helium level in [%]:	28-OCT-2005	86
Date and helium level in [%]:	31-OCT-2005	86
Date and helium level in [%]:	31-OCT-2005	86
Date and helium level in [%]:	01-NOV-2005	86
Date and helium level in [%]:	01-NOV-2005	86
Date and helium level in [%]:	01-NOV-2005	86
Date and helium level in [%]:	02-NOV-2005	86
Date and helium level in [%]:	02-NOV-2005	86
Date and helium level in [%]:	03-NOV-2005	86
Date and helium level in [%]:	03-NOV-2005	86
Date and helium level in [%]:	04-NOV-2005	86
Date and helium level in [%]:	04-NOV-2005	86
Date and helium level in [%]:	07-NOV-2005	86
Date and helium level in [%]:	07-NOV-2005	86
Date and helium level in [%]:	08-NOV-2005	86
Date and helium level in [%]:	08-NOV-2005	86
Date and helium level in [%]:	09-NOV-2005	86
Date and helium level in [%]:	09-NOV-2005	86
Date and helium level in [%]:	10-NOV-2005	86
Date and helium level in [%]:	10-NOV-2005	86
Date and helium level in [%]:	11-NOV-2005	86
Date and helium level in [%]:	11-NOV-2005	86
Date and helium level in [%]:	14-NOV-2005	86
Date and helium level in [%]:	14-NOV-2005	86
Date and helium level in [%]:	14-NOV-2005	86
Date and helium level in [%]:	14-NOV-2005	86
Date and helium level in [%]:	15-NOV-2005	86
Date and helium level in [%]:	15-NOV-2005	86
Date and helium level in [%]:	16-NOV-2005	86
Date and helium level in [%]:	16-NOV-2005	86
Date and helium level in [%]:	16-NOV-2005	86
Date and helium level in [%]:	17-NOV-2005	86
Date and helium level in [%]:	17-NOV-2005	86
Date and helium level in [%]:	18-NOV-2005	86
Date and helium level in [%]:	18-NOV-2005	86
Date and helium level in [%]:	21-NOV-2005	85
Date and helium level in [%]:	21-NOV-2005	85
Date and helium level in [%]:	22-NOV-2005	85
Date and helium level in [%]:	22-NOV-2005	85
Date and helium level in [%]:	23-NOV-2005	85
Date and helium level in [%]:	23-NOV-2005	85
Date and helium level in [%]:	28-NOV-2005	85
Date and helium level in [%]:	28-NOV-2005	85
Date and helium level in [%]:	29-NOV-2005	85
Date and helium level in [%]:	29-NOV-2005	85
Date and helium level in [%]:	29-NOV-2005	85
Date and helium level in [%]:	30-NOV-2005	85
Date and helium level in [%]:	30-NOV-2005	85
Date and helium level in [%]:	01-DEC-2005	85
Date and helium level in [%]:	01-DEC-2005	85
Date and helium level in [%]:	01-DEC-2005	85
Date and helium level in [%]:	02-DEC-2005	85
Date and helium level in [%]:	02-DEC-2005	85
Date and helium level in [%]:	05-DEC-2005	85
Date and helium level in [%]:	05-DEC-2005	85
Date and helium level in [%]:	06-DEC-2005	85
Date and helium level in [%]:	06-DEC-2005	85
Date and helium level in [%]:	07-DEC-2005	85
Date and helium level in [%]:	07-DEC-2005	85
Date and helium level in [%]:	08-DEC-2005	85
Date and helium level in [%]:	08-DEC-2005	85
Date and helium level in [%]:	09-DEC-2005	85
Date and helium level in [%]:	09-DEC-2005	85
Date and helium level in [%]:	12-DEC-2005	85
Date and helium level in [%]:	12-DEC-2005	85
Date and helium level in [%]:	12-DEC-2005	85
Date and helium level in [%]:	13-DEC-2005	85
Date and helium level in [%]:	13-DEC-2005	85
Date and helium level in [%]:	14-DEC-2005	85
Date and helium level in [%]:	14-DEC-2005	85
Date and helium level in [%]:	15-DEC-2005	84
Date and helium level in [%]:	15-DEC-2005	84
Date and helium level in [%]:	15-DEC-2005	84
Date and helium level in [%]:	16-DEC-2005	84
Date and helium level in [%]:	16-DEC-2005	84
Date and helium level in [%]:	19-DEC-2005	84
Date and helium level in [%]:	19-DEC-2005	84
Date and helium level in [%]:	19-DEC-2005	84
Date and helium level in [%]:	20-DEC-2005	84
Date and helium level in [%]:	20-DEC-2005	84
Date and helium level in [%]:	21-DEC-2005	85
Date and helium level in [%]:	21-DEC-2005	84
Date and helium level in [%]:	22-DEC-2005	84
Date and helium level in [%]:	22-DEC-2005	84
Date and helium level in [%]:	22-DEC-2005	84
Date and helium level in [%]:	23-DEC-2005	84
Date and helium level in [%]:	23-DEC-2005	84
Date and helium level in [%]:	27-DEC-2005	84
